sample_id,Lead_(ppb),parcel_id,Date_Submitted,google_add,Latitude,Longitude,Owner_Type,Land_Value,Land_Improvements_Value,Residential_Building_Value,Residential_Building_Style,Commercial_Building_Value,Building_Storeys,Parcel_Acres,Rental,Use_Type,Prop_Class,Year_Built,USPS_Vacancy,Zoning,Future_Landuse,DRAFT_Zone,Housing_Condition_2012,Housing_Condition_2014,Commercial_Condition_2013,Hydrant_Type,Ward,PRECINCT,CENTRACT,CENBLOCK,SL_Type,SL_Type2,SL_Lead,Homestead,Homestead_Percent,HomeSEV
sample_012585,0.0,parcel_000036,2015-09-25 11:07:30,"1930 Colchester Rd, Flint, MI 48503, USA",42.994119,-83.723837,Private,20173,0,24133,ONE STORY,0.0,0,0.237,No,Residential,RI,1945,N,A1,Traditional Neighborhood,TN-1,Good,Good, ,Dar,8,50,003600,6,1,0,0,Yes,100.0,35000
sample_006656,0.0,parcel_000036,2016-02-12 13:05:05,"1930 Colchester Rd, Flint, MI 48503, USA",42.994119,-83.723837,Private,20173,0,24133,ONE STORY,0.0,0,0.237,No,Residential,RI,1945,N,A1,Traditional Neighborhood,TN-1,Good,Good, ,Dar,8,50,003600,6,1,0,0,Yes,100.0,35000
sample_007366,0.0,parcel_004160,2015-09-30 13:06:52,"605 Garland St, Flint, MI 48503, USA",43.0207013,-83.696796,Private,15089,85227,0,,1193110.709,2,1.2,No,Commercial,CI,0,N,C-1,Mixed Residential,MR-3, , , ,Mueller,5,32,002800,2,1,0,0,No,0.0,0
sample_014024,4.0,parcel_004160,2015-09-30 13:06:51,"605 Garland St, Flint, MI 48503, USA",43.0207013,-83.696796,Private,15089,85227,0,,1193110.709,2,1.2,No,Commercial,CI,0,N,C-1,Mixed Residential,MR-3, , , ,Mueller,5,32,002800,2,1,0,0,No,0.0,0
sample_003639,0.0,parcel_010786,2015-09-30 13:07:02,"4307 Ogema Ave, Flint, MI 48507, USA",42.9847449,-83.660663,Private,7526,0,85999,CAPECOD,0.0,0,0.135,Yes,Residential,RI,1950,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Mueller,9,61,003500,3,1,0,0,Yes,100.0,0
sample_015176,0.0,parcel_006659,2015-10-01 11:10:35,"2422 Bassett Pl, Flint, MI 48504, USA",43.038742,-83.723274,Private,787,0,45845,ONE STORY,0.0,0,0.126,No,Residential,RI,1928,N,A2,Green Neighborhood,GN-2,Good,Poor, ,Other,2,11,000900,4,5,0,1,Yes,100.0,7100
sample_014551,0.0,parcel_005315,2015-10-01 11:10:36,"3729 Woodrow Ave, Flint, MI 48506, USA",43.038006,-83.638971,Private,9500,0,13814,ONE STORY,0.0,0,0.115,No,Residential,RI,1955,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,T.C.,4,25,002700,2,1,0,0,Yes,100.0,14100
sample_015898,0.0,parcel_006572,2015-10-01 11:10:38,"3617 Churchill Ave, Flint, MI 48506, USA",43.034039,-83.6406949,Private,7618,0,63672,ONE STORY,0.0,0,0.233,No,Residential,RI,1946,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Mueller,4,25,002700,3,1,0,0,Yes,100.0,8000
sample_003913,0.0,parcel_006572,2016-01-21 13:42:54,"3617 Churchill Ave, Flint, MI 48506, USA",43.034039,-83.6406949,Private,7618,0,63672,ONE STORY,0.0,0,0.233,No,Residential,RI,1946,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,Mueller,4,25,002700,3,1,0,0,Yes,100.0,8000
sample_006504,0.0,parcel_006162,2015-10-01 11:10:41,"1222 Ingleside Ave, Flint, MI 48507, USA",42.9837875,-83.696604,Private,1870,0,13003,ONE STORY,0.0,0,0.078,No,Residential,RI,1915,N,A2,Green Neighborhood,GN-2,Fair,Good, ,Dar,8,54,013500,3,1,0,0,Yes,100.0,3800
